a2ps	4.14	Any-to-PostScript filter
libpano	13-2.9.19	Build panoramic images from a set of overlapping images
libpcap	1.8.1	Portable library for network traffic capture
libpcl	1.12	C library and API for coroutines
libpeas	1.14.0	GObject plugin library
libpgm	5.2.122	Implements the PGM reliable multicast protocol
libplist	1.12	Library for Apple Binary- and XML-Property Lists
libpng	1.6.24	Library for manipulating PNG images
libpointing	0.92	Provides direct access to HID pointing devices
libpoker-eval	138.0	C library to evaluate poker hands
libpqxx	4.0.1	C++ connector for PostgreSQL
libprotoident	2.0.7	Libprotoident performs application layer protocol identification
libpst	0.6.65	Utilities for the PST file format
libpuzzle	0.11	Library to find visually similar images
libqalculate	0.9.7	Library for Qalculate! program
libqglviewer	2.6.1	C++ Qt library to create OpenGL 3D viewers
libquantum	1.0.0	C library for the simulation of quantum mechanics
libquicktime	1.2.4	Library for reading and writing quicktime files
libquvi	0.4.1	C library to parse flash media stream properties
librasterlite	1.1g	Library to store and retrieve huge raster coverages
libraw	0.16.0	Library for reading RAW files from digital photo cameras
librcsc	4.1.0	RoboCup Soccer Simulator library
librdkafka	0.8.6	The Apache Kafka C/C++ library
libre	0.4.12	Toolkit library for asynchronous network I/O with protocol stacks
libreadline-java	0.8.0	Port of GNU readline for Java
librem	0.4.6	Toolkit library for real-time audio and video processing
libreplaygain	r475	Library to implement ReplayGain standard for audio
libresample	0.1.3	Audio resampling C library
libressl	2.2.3	Version of the SSL/TLS protocol forked from OpenSSL
librevenge	0.0.2	Base library for writing document import filters
librsvg	2.40.10	Library to render SVG files using Cairo
librsync	0.9.7	Library that implements the rsync remote-delta algorithm
librtlsdr	v0.5.3	Use Realtek DVT-T dongles as a cheap SDR
libsamplerate	0.1.8	Library for sample rate conversion of audio data
libsass	3.2.5	C implementation of a Sass compiler
libscrypt	v1.20	Library for scrypt
libsecret	0.18.3	Library for storing/retrieving passwords and other secrets
libshout	2.3.1	Data and connectivity library for the icecast server
libsigc++	2.4.1	Callback framework for C++
libsigsegv	2.10	Library for handling page faults in user mode
libslax	0.19.0	Implementation of the SLAX language (an XSLT alternative)
libsmf	1.3	C library for handling SMF ('*.mid') files
libsmi	0.4.8	Library to Access SMI MIB Information
libsndfile	1.0.25	C library for files containing sampled sound
libsodium	1.0.3	NaCl networking and cryptography library
libsoup	2.52.0	HTTP client/server library for GNOME
libsoxr	0.1.1	High quality, one-dimensional sample-rate conversion library
libspatialite	4.3.0a	Adds spatial SQL capabilities to SQLite
libspectre	0.2.7	Small library for rendering Postscript documents
libspiro	20071029	Library to simplify the drawing of curves
libspnav	0.2.3	Client library for connecting to 3Dconnexion's 3D input devices
libssh	0.7.1	C library SSHv1/SSHv2 client and server protocols
libssh2	1.8.0	C library implementing the SSH2 protocol
libstfl	0.22	Library implementing a curses-based widget set for terminals
libstrophe	0.8.6	XMPP library for C
libstxxl	1.4.1	C++ implementation of STL for extra large data sets
libsvg	0.1.4	Library for SVG files
libsvg-cairo	0.1.6	SVG rendering library using Cairo
libsvm	3.20	Library for support vector machines
libswiften	2.0	C++ library for implementing XMPP applications
libtar	v1.2.20	C library for manipulating POSIX tar files
libtasn1	4.7	ASN.1 structure parser library
libtecla	1.6.3	Command-line editing facilities similar to the tcsh shell
libtermkey	0.17	Library for processing keyboard entry from the terminal
libtess2	1.0	Refactored version of GLU tesselator
libtextcat	2.2	N-gram-based text categorization library
libtiff	4.0.6	TIFF library and utilities
libtins	v3.1	C++ network packet sniffing and crafting library
libtomcrypt	1.17	Modular and portable cryptographic toolkit
libtommath	0.42.0	C library for number theoretic multiple-precision integers
libtool	2.4.6	Generic library support script
libtorrent	0.13.6	BitTorrent library
libtorrent-rasterbar	1.0.6	C++ bittorrent library by Rasterbar Software
libtrace	3.0.22	Library for trace processing supporting multiple inputs
libunistring	0.9.6	C string library for manipulating Unicode strings
libunwind-headers	35.1	C API for determining the call-chain of a program
libupnp	1.6.19	Portable UPnP development kit
libusb	1.0.20	Library for USB device access
libusb-compat	0.1.5	Library for USB device access
libusrsctp	0.9.1	User-land SCTP stack
libutf	20110530	Port of Plan 9's support library for UTF-8 and Unicode
libutil	11	FreeBSD utility library
libuv	v1.7.4	Multi-platform support library with a focus on asynchronous I/O
libuvc	v0.0.5	Cross-platform library for USB video devices
libvbucket	1.8.0.4	Utility library providing mapping to virtual buckets
libvidstab	0.98b	Transcode video stabilization plugin
libvirt	1.2.19	C virtualization API
libvisio	0.1.1	Interpret and import Visio diagrams
libvo-aacenc	0.1.3	VisualOn AAC encoder library
libvoikko	3.8	Linguistic software for Finnish
libvorbis	1.3.5	Vorbis General Audio Compression Codec
libvpx	v1.4.0	VP8 video codec
libwandevent	3.0.1	Libwandevent provides an API for developing event-driven programs
libwbxml	0.11.2	Library and tools to parse and encode WBXML documents
libwebm	1.0.0.26	WebM container
libwebsockets	v3.1.0	C websockets server library
libwmf	0.2.8.4	Library for converting WMF (Window Metafile Format) files
libwpd	0.10.0	General purpose library for reading WordPerfect files
libwpg	0.3.0	Library for reading and parsing Word Perfect Graphics format
libwps	0.3.0	Library to import files in MS Works format
libxc	2.2.2	Library of exchange and correlation functionals for codes
libxdg-basedir	1.2.0	C implementation of the XDG Base Directory specifications
libxdiff	0.23	Implements diff functions for binary and text files
libxmi	1.2	C/C++ function library for rasterizing 2D vector graphics
libxml++	2.40.0	C++ wrapper for libxml
libxml2	2.9.2	GNOME XML library
libxmlsec1	1.2.20	XML security library
libxmp	4.3.9	C library for playback of module music (MOD, S3M, IT, etc)
libxmp-lite	4.3.5	Lite libxmp
libxslt	1.1.28	C XSLT library for GNOME
libxspf	1.2.0	C++ library for XSPF playlist reading and writing
libyaml	0.1.6	YAML Parser
libyubikey	1.13	C library for manipulating Yubico one-time passwords
libzdb	3.1	Database connection pool library
libzip	0.11.2	C library for reading, creating, and modifying zip archives
libzzip	0.13.62	Library providing read access on ZIP-archives
lifelines	3.0.62	Text-based genealogy software
lightning	2.1.0	Generates assembly language code at run-time
lighttpd	1.4.37	Small memory footprint, flexible web-server
lilv	0.20.0	C library to use LV2 plugins
link-grammar	4.7.14	Carnegie Mellon University's link grammar parser
linklint	2.3.5	Link checker and web site maintenance tool
links	2.11	Lynx-like WWW browser that supports tables, menus, etc.
liquibase	3.4.1	Library for database change tracking
liquidprompt	v1.9	Adaptive prompt for bash and zsh shells
litmus	0.13	WebDAV server protocol compliance test suite
little-cms	1.19	Version 1 of the Little CMS library
little-cms2	2-2.7	Color management engine supporting ICC profiles
lldpd	0.7.17	Implementation library for LLDP
llvm	3.6.2	llvm (Low Level Virtual Machine): a next-gen compiler infrastructure
lmdb	0.9.14	Lightning memory-mapped database: key-value data store
lnav	0.7.3	Curses-based tool for viewing and analyzing log files
lockrun	1.1.3	Run cron jobs with overrun protection
log4c	1.2.4	Logging Framework for C
log4cplus	1.1.2	Logging Framework for C++
log4cpp	1.1.1	Configurable logging for C++
log4cxx	0.10.0	Library of C++ classes for flexible logging
log4shib	1.0.9	Forked version of log4cpp for the Shibboleth project
logcheck	1.3.17	Mail anomalies in the system logfiles to the administrator
logentries	v1.4.19	Utility for access to logentries logging infrastructure
logrotate	3.9.1	Rotates, compresses, and mails system logs
logstalgia	1.0.6	Web server access log visualizer
logstash	1.5.4	Tool for managing events and logs
logtalk	3.00.4	Object-oriented logic programming language
lolcode	v0.11.2	LOLCODE interpreter
lorem	0.6.1	Lorem Ipsum generator
loudmouth	1.5.0-20121201	Lightweight C library for the Jabber protocol
lout	3.40	Text formatting like TeX, but simpler
lpc21isp	1.97	In-circuit programming (ISP) tool for several NXP microcontrollers
lrdf	0.5.0	RDF library for accessing plugin metadata in the LADSPA plugin system
lrzip	0.621	Compression program with a very high compression ratio
lrzsz	0.12.20	Tools for zmodem/xmodem/ymodem file transfer
lsdvd	0.16	Read the content info of a DVD
lsh	2.1	GNU implementation of the Secure Shell (SSH) protocols
lsof	4.89	Utility to list open files
lsyncd	2.1.5	Synchronize local directories with remote targets
ltc-tools	v0.6.4	Tools to deal with linear-timecode (LTC)
ltl2ba	1.2b1	Translate LTL formulae to Buchi automata
lua	5.2.4	Powerful, lightweight programming language
lua51	5.1.5	Powerful, lightweight programming language (v5.1.5)
luabind	0.9.1	Library for bindings between C++ and Lua
luajit	2.0.4	Just-In-Time Compiler (JIT) for the Lua programming language
luciddb	0.9.4	DBMS optimized for business intelligence
lutok	0.4	Lightweight C++ API for Lua
luvit	0.8.2	Asynchronous I/O for Lua
luyten	0.4.4	Java decompiler GUI for Procyon
lv	4.51	Powerful multi-lingual file viewer/grep
lv2	1.12.0	Portable plugin standard for audio systems
lwtools	4.9	Cross-development tools for Motorola 6809 and Hitachi 6309 microprocessors
lxsplit	0.2.4	Tool for splitting or joining files
lynis	2.1.1	Security and system auditing tool to harden systems
lynx	2.8.8rel.2	Text-based web browser
lysp	1.1	Small Lisp interpreter
lz4	r131	Lossless compression algorithm
lzip	1.17	LZMA-based compression program similar to gzip or bzip2
lzlib	1.7	Data compression library
lzo	2.09	Real-time data compression library
lzop	1.03	File compressor
m2c	0.7	Modula-2 to C compiler
m4	1.4.18	Macro processing language
mac-robber	1.02	Digital investigation tool
mackup	0.8.11	Keep your Mac's application settings in sync
macvim	7.4-77	GUI for vim, made for OS X
mad	0.15.1	MPEG audio decoder
madplay	0.15.2	MPEG Audio Decoder
magit	2.2.2	Emacs interface for Git
mahout	0.11.0	Library to help build scalable machine learning libraries
mailcheck	1.91.2	Check multiple mailboxes/maildirs for mail
mailutils	2.2	Swiss Army knife of email handling
mairix	0.23	Email index and search tool
make	4.2.1	Utility for directing compilation
makedepend	1.0.5	Creates dependencies in makefiles
makefile2graph	v1.5.0	Create a graph of dependencies from GNU-Make
makeicns	1.4.10a	Create icns files from the command-line
makensis	2.46	System to create Windows installers
makepkg	v4.2.1	Compile and build packages suitable for installation with pacman
makepp	2.0	Drop-in replacement for GNU make
makeself	2.2.0	Make self-extractable archives on UNIX
mal4s	1.2.8	Malicious host finder based on gource
malaga	7.12	Grammar development environment for natural languages
malbolge	0.1.0	Deliberately difficult to program esoteric programming language
man2html	3.0.1	Convert nroff man pages to HTML
mandoc	1.13.3	The mandoc UNIX manpage compiler toolset
mapnik	v3.0.5	Toolkit for developing mapping applications
mapserver	6.2.2	Publish spatial data and interactive mapping apps to the web
mariadb	10.0.21	Drop-in replacement for MySQL
markdown	1.0.1	Text-to-HTML conversion tool
marst	2.7	Algol-to-C translator
masscan	1.0.3	TCP port scanner, scans entire Internet in under 5 minutes
matlab2tikz	1.0.0	Convert MATLAB(R) figures into TikZ/Pgfplots figures
maven	3.3.3	Java-based project management
maven-shell	1.1.0	Shell for Maven
mawk	1.3.4-20141027	Interpreter for the AWK Programming Language
mbelib	v1.2.5	P25 Phase 1 and ProVoice vocoder
mboxgrep	0.7.9	Scan a mailbox for messages matching a regular expression
mcabber	1.0.0	Console Jabber client
mcpp	2.7.2	Alternative C/C++ preprocessor
mcrypt	2.6.8	Replacement for the old crypt package and crypt(1) command
md	147	Process raw dependency files produced by cpp
md5deep	4.4	Recursively compute digests on files/directories
md5sha1sum	0.9.5	Hash utilities
mda-lv2	1.2.2	LV2 port of the MDA plugins
mdbtools	0.7.1	Tools to facilitate the use of Microsoft Access databases
mdf2iso	0.3.1	Tool to convert MDF (Alcohol 120% images) images to ISO images
mdk	1.2.8	GNU MIX development kit
mdp	1.0.1	Command-line based markdown presentation tool
mdr	v1.0.1	Make diffs readable
mdxmini	20140608	Plays music in X68000 MDX chiptune format
mecab	0.996	Yet another part-of-speech and morphological analyzer
mecab-ipadic	2.7.0-20070801	IPA dictionary compiled for MeCab
mecab-jumandic	5.1-20070304	See mecab
mecab-ko	0.996-ko-0.9.2	See mecab
mecab-ko-dic	1.6.1-20140814	See mecab
mecab-unidic	2.1.2	Morphological analyzer for MeCab
media-info	0.7.77	Unified display of technical and tag data for audio/video
mediatomb	0.12.1	Open source (GPL) UPnP MediaServer
megacmd	0.012	Command-line client for mega.co.nz storage service
megatools	1.9.95	Command-line client for Mega.co.nz
memcache-top	v0.6	Grab real-time stats from memcache
memcached	1.4.24	High performance, distributed memory object caching system
memcacheq	0.2.0	Queue service for memcache
memo	1.6	Note-taking and to-do software
memtester	4.3.0	Utility for testing the memory subsystem
menhir	20141215	LR(1) parser generator for the OCaml programming language
mercurial	3.5.1	Scalable distributed version control system
mercury	14.01.1	Logic/functional programming language
mergelog	4.5	Merges httpd logs from web servers behind round-robin DNS
mergepbx	v0.9	Merge XCode project files in git
mesos	0.24.0	Apache cluster manager
metaproxy	1.8.8	Z39.50 proxy and router utilizing Yaz toolkit
metashell	v2.1.0	Metaprogramming shell for C++ templates
mfcuk	0.3.8	MiFare Classic Universal toolKit
mfoc	0.10.7	Implementation of 'offline nested' attack by Nethemba
mftrace	1.2.18	Trace TeX bitmap font to PFA, PFB, or TTF font
mg	20131118	Small Emacs-like editor
mgba	0.6.3	Game Boy Advance emulator
mhash	0.9.9.9	Uniform interface to a large number of hash algorithms
midgard2	12.09	Generic content repository for web and desktop applications
midicsv	1.1	Convert MIDI audio files to human-readable CSV format
midnight-commander	4.8.14	Terminal-based visual file manager
mighttpd2	3.2.7	HTTP server
mikmod	3.2.6	Portable tracked music player
miller	2.2.1	Like sed, awk, cut, join & sort for name-indexed data such as CSV
mimms	3.2.1	Mms stream downloader
minbif	1.0.5	IRC-to-other-IM-networks gateway using Pidgin library
minicom	2.7	Menu-driven communications program
minidjvu	0.8	DjVu multipage encoder, single page encoder/decoder
minidlna	1.1.5	Media server software, compliant with DLNA/UPnP-AV clients
minimodem	0.22.1	General-purpose software audio FSK modem
minisat	2.2.0	Boolean satisfiability (SAT) problem solver
minised	1.15	Smaller, cheaper, faster SED implementation
minisign	0.4	Sign files & verify signatures. Works with signify in OpenBSD.
miniupnpc	2.0.20170509	UpnP IGD client library and daemon
minizinc	2.0.6	Medium-level constraint modeling language
minizip	1.2.8	C library for zip/unzip via zLib
minuit2	2-5.34.14	Physics analysis tool for function minimization
miredo	1.2.6	Teredo IPv6 tunneling through NATs
miruo	0.9.6a	Pretty-print TCP session monitor/analyzer
mitie	v0.4	Library and tools for information extraction
mitmproxy	0.13	Intercept, modify, replay, save HTTP/S traffic
mjpegtools	2.1.0	Record and playback videos and perform simple edits
mkclean	0.8.7	Optimizes Matroska and WebM files
mkcue	1	Generate a CUE sheet from a CD
mksh	R50F	MirBSD Korn Shell
mktorrent	1.0	Create BitTorrent metainfo files
mkvalidator	0.5.0	Tool to verify Matroska and WebM files for spec conformance
mkvdts2ac3	1.6.0	Convert DTS audio to AC3 within a matroska file
mkvtomp4	v1.3	Convert mkv files to mp4
mkvtoolnix	8.3.0	Matroska media files manipulation tools
mldonkey	3.1.5	OCaml/GTK client for the eDonkey P2P network
mlogger	v1.1.2	Log to syslog from the command-line
mlt	0.9.6	Author, manage, and run multitrack audio/video compositions
mm-common	0.9.8	C++ interfaces for GTK+ and GNOME
mmix	20131017	64-bit RISC architecture designed by Donald Knuth
mmsrip	0.7.0	Client for the MMS:// protocol
mmv	1.01b	Move, copy, append, and link multiple files
mobile-shell	1.2.5	Remote terminal application
mobiledevice	v2.0.0	CLI for Apple's Private (Closed) Mobile Device Framework
moc	2.5.0	Terminal-based music player
mockserver	3.9.17	Mock HTTP server and proxy
moco	0.10.1	Stub server with Maven, Gradle, Scala, and shell integration
modgit	v1.0.1	Tool for git repo deploy with filters. Used for magento development.
modman	1.12	Module deployment script geared towards Magento development
modules	3.2.10	Dynamic modification of a user's environment via modulefiles
moe	1.7	Console text editor for ISO-8859 and ASCII
mogenerator	1.29	Generate Objective-C code for Core Data custom classes
mon	1.2.3	Monitor hosts/services/whatever and alert about problems
monetdb	11.21.5	Column-store database
mongo-c	1.1.6	Official C driver for MongoDB
mongodb	r3.0.6	High-performance, schema-free, document-oriented database
mongoose	5.6	Web server build on top of Libmongoose embedded library
mongrel2	v1.9.3	Application, language, and network architecture agnostic web server
mongroup	0.4.1	Monitor a group of processes with mon
monit	5.14	Manage and monitor processes, files, directories, and devices
monkeysphere	0.36	Use the OpenPGP web of trust to verify ssh connections
mono	4.2.0.179	Cross platform, open source .NET development framework
monotone	1.1	Distributed version control system (DVCS)
montage	v3.3	Toolkit for assembling FITS images into custom mosaics
moreutils	0.57	Collection of tools that nobody wrote when UNIX was young
mosml	2.10.1	Moscow ML
mosquitto	1.4.2	Message broker implementing MQ telemetry transport protocol
most	5.0.0a	Powerful paging program
movgrab	1.2.1	Downloader for youtube, dailymotion, and other video websites
mozilla-addon-sdk	1.17	Create Firefox add-ons using JS, HTML, and CSS
mozjpeg	3.1	Improved JPEG encoder
mp3blaster	3.2.5	Text-based mp3 player
mp3cat	0.4	Reads and writes mp3 files
mp3check	0.8.7	Tool to check mp3 files for consistency
mp3gain	1.5.2	Lossless mp3 normalizer with statistical analysis
mp3info	0.8.5a	MP3 technical info viewer and ID3 1.x tag editor
mp3splt	2.6.2	Command-line interface to split MP3 and Ogg Vorbis files
mp3val	0.1.8	Program for MPEG audio stream validation
mp3wrap	0.5	Wrap two or more mp3 files in a single large file
mp4v2	2.0.0	Read, create, and modify MP4 files
mpack	1.6	MIME mail packing and unpacking
mpc	0.27	Command-line music player client for mpd
mpck	0.19	Check MP3 files for errors
mpd	0.19.10	Music Player Daemon
mpdas	0.3.1	C++ client to submit tracks to audioscrobbler
mpdscribble	0.22	Last.fm reporting client for mpd
mpdviz	0.4.6	Standalone console MPD visualizer
mpegdemux	0.1.4	MPEG1/2 system stream demultiplexer
mpfi	1.5.1	Multiple precision interval arithmetic library
mpfr	3.1.6	C library for multiple-precision floating-point computations
mpfr2	2.4.2	Multiple-precision floating-point computations C lib
mpg123	1.22.4	MP3 player for Linux and UNIX
mpg321	0.3.2	Command-line MP3 player
mpgtx	1.3.1	Toolbox to manipulate MPEG files
mpich	3.1.4	Implementation of the MPI Message Passing Interface standard
mplayer	1.2	UNIX movie player
mplayershell	0.9.3	Improved visual experience for MPlayer on OS X
mpop	1.2.0	POP3 client
mpssh	1.3.3	Mass parallel ssh
mpw	2.1-cli4	Master Password for the terminal
mr	1.20150503	Multiple Repository management tool
mrtg	2.17.4	Multi router traffic grapher
mruby	1.1.0	Lightweight implementation of the Ruby language
msdl	1.2.7r2	Downloader for various streaming protocols
msgpack	1.2.0	Library for a binary-based efficient data interchange format
msitools	0.94	Windows installer (.MSI) tool
msktutil	0.5.1	Program for interoperability with Active Directory
msmtp	1.6.2	SMTP client that can be used as an SMTP plugin for Mutt
mspdebug	0.22	Debugger for use with MSP430 MCUs
mtools	4.0.17	Tools for manipulating MSDOS files
mtr	0.86	'traceroute' and 'ping' in a single tool
mu	v0.9.13	Tool for searching e-mail messages stored in the maildir-format
multimarkdown	4.7.1	Turn marked-up plain text into well-formatted documents
multirust	0.0.6	Manage multiple Rust installations
multitail	6.4.1	Tail multiple files in one terminal simultaneously
muparser	2.2.4	C++ math expression parser library
mupdf-tools	1.7a	Lightweight PDF and XPS viewer
musepack	r475	Audio compression format and tools
mussh	1.0	Multi-host SSH wrapper
mutt	1.5.24	Mongrel of mail user agents (part elm, pine, mush, mh, etc.)
muttils	1.3	Provides utilities for use with console mail clients, eg. Mutt.
mvnvm	1.0.7	Maven version manager
mvptree	1.0	Perceptual hash library
mycli	1.4.0	CLI for MySQL with auto-completion and syntax highlighting
mypy	v0.2.0	Experimental optional static type checker for Python
mysql	5.6.35	Open source relational database management system
mysql++	3.2.1	C++ wrapper for MySQL's C API
mysql-cluster	7.3.8	Shared-nothing clustering and auto-sharding for MySQL
mysql-connector-c	6.1.6	MySQL database connector for C applications
mysql-connector-c++	1.1.6	MySQL database connector for C++ applications
mysql-connector-odbc	5.3.4	Standardized database driver
mysql-proxy	0.8.5	Proxy for MySQL-Server
mysql-sandbox	3.0.50	Install one or more MySQL servers
mysql-search-replace	3.0.0	Database search and replace script in PHP
mysqltuner	v1.4.0	Increase performance and stability of a MySQL installation
mytop	1.9.1	Top-like query monitor for MySQL
n	2.0.2	Node version management
nacl	20110221	Network communication, encryption, decryption, signatures library
nagios	4.0.6	Network monitoring and management system
nagios-plugins	2.0.3	Plugins for the nagios network monitoring system
nailgun	0.9.1	Command-line client, protocol and server for Java programs
namazu	2.0.21	Full-text search engine
namebench	1.3.1	DNS benchmark utility
nanomsg	0.6	Socket library in C
nanopb-generator	0.3.4	ANSI C library for encoding and decoding Protocol Buffer messages
nant	0.92	.NET build tool
narwhal	v0.3.2	General purpose JavaScript platform for building applications
nasm	2.11.08	Netwide Assembler (NASM) is an 80x86 assembler
natalie	0.3	Storyboard Code Generator (for Swift)
naturaldocs	1.52	Extensible, multi-language documentation generator
nave	v0.5.1	Virtual environments for Node.js
nbimg	v1.2.1	Smartphone boot splash screen converter for Android and winCE
ncdc	1.19.1	NCurses direct connect
ncdu	1.11	NCurses Disk Usage
ncftp	3.2.5	FTP client with an advanced user interface
ncmpc	0.24	Curses Music Player Daemon (MPD) client
ncmpcpp	0.6.7	Ncurses-based client for the Music Player Daemon
ncp	1.2.4	File copy tool for LANs
ncrack	0.4	Network authentication cracking tool
ncurses	6.0	Text-based UI library
ndiff	2.00	Virtual package provided by nmap
ndpi	1.7	Deep Packet Inspection (DPI) library
negfix8	8.3	Turn scanned negative images into positives
neko	2.0.0-22c49a8	High-level, dynamically typed programming language
neo4j	2.2.5	Robust (fully ACID) transactional property graph database
neon	0.30.1	HTTP and WebDAV client library with a C interface
nesc	1.3.4	Programming language for deeply networked systems
net-snmp	5.7.3	Implements SNMP v1, v2c, and v3, using IPv4 and IPv6
net6	1.3.14	C++ library for network-based applications
netcat	0.7.1	Utility for managing network connections
netcat6	1.0	Rewrite of netcat that supports IPv6, plus other improvements
netpbm	10.68	Image manipulation
netperf	2.7.0	Benchmarks performance of many different types of networking
nettle	2.7.1	Low-level cryptographic library
newlisp	10.6.2	Lisp-like, general-purpose scripting language
newsbeuter	2.9	RSS/Atom feed reader for text terminals
newt	0.52.18	Library for color text mode, widget based user interfaces
nexus	2.11.4-01	Repository manager for binary software components
nfcutils	0.3.2	Near Field Communication (NFC) tools under POSIX systems
nfdump	1.6.13	Tools to collect and process netflow data on the command line
nghttp2	1.3.4	HTTP/2 C Library
nginx	1.8.0	HTTP(S) server and reverse proxy, and IMAP/POP3 proxy server
ngircd	22.1	Next generation IRC daemon
ngrep	1.45	network grep
ngrok	1.7.1	Expose localhost to the internet and capture traffic for replay
ngspice	26	Spice circuit simulator
nickle	2.77	Desk calculator language
nicovideo-dl	0.0.20120212	Command-line program to download videos from www.nicovideo.jp
nifi	0.3.0	Easy to use, powerful, and reliable system to process and distribute data.
nikto	2.1.5	Web server scanner
nimrod	0.11.2	Statically typed, imperative programming language
ninja	v1.6.0	Small build system for use with gyp or CMake
ninja-ide	v2.3	Cross-platform Python IDE
nkf	2.1.3	Network Kanji code conversion Filter (NKF)
nload	0.7.4	Realtime console network usage monitor
nmap	6.47	Port scanning utility for large networks
node	v4.1.1	Platform built on the V8 JavaScript runtime to build network applications
nodebrew	v0.8.1	Node.js version manager
nodenv	v0.3.4	NodeJS version management
nordugrid-arc	5.0.0	Grid computing middleware
norm	1.5r6	NACK-Oriented Reliable Multicast
normalize	0.7.7	Adjust volume of audio files to a standard level
notmuch	0.20.2	Thread-based email index, search, and tagging
noweb	2.11b	WEB-like literate-programming tool
npth	1.2	New GNU portable threads library
nq	v0.1	Unix command-line queue utility
nrg2iso	0.4	Extract ISO9660 data from Nero nrg files
nrpe	2.15	Nagios remote plugin executor
nsd	4.1.3	Name server daemon
nspr	4.10.9	Platform-neutral API for system-level and libc-like functions
nsq	v0.3.6	Realtime distributed messaging platform
nss	3.20	Libraries for security-enabled client and server applications
ntl	9.3.0	C++ number theory library
ntopng	2.0	Next generation version of the original ntop
nu	v2.1.1	Object-oriented, Lisp-like programming language
num-utils	0.5	Programs for dealing with numbers from the command-line
nut	2.7.3	Network UPS Tools: Support for various power devices
nutcracker	v0.4.0	Proxy for memcached and redis
nuttcp	6.1.2	Network performance measurement tool
nvi	1.81.6	44BSD re-implementation of vi
nvm	v0.27.1	Manage multiple Node.js versions
nyancat	1.4.4	Nyancat in your terminal, rendered through ANSI escape sequences.
nylon	1.21	Proxy server
nzbget	15.0	Binary newsgrabber for nzb files
oath-toolkit	2.6.1	Tools for one-time password authentication systems
oauth2_proxy	v2.0.1	Reverse proxy for authenticating users via OAuth 2 providers
objc-codegenutils	v1.0	Three small tools to help work with XCode
objc-run	1.4	Use Objective-C files for shell script-like tasks
ocaml	4.02.3	General purpose programming language in the ML family
ocamlsdl	0.9.1	OCaml interface with the SDL C library
ocp	0.1.21	UNIX port of the Open Cubic Player
ocrad	0.25	Optical character recognition (OCR) program
ode	0.13.1	Library for simulating articulated rigid body dynamics
odo	v0.2.2	Atomic odometer for the command-line
odt2txt	v0.5	Convert OpenDocument files to plain text
offline-imap	v6.5.7	Synchronizes emails between two repositories
oggz	1.1.1	Command-line tool for manipulating Ogg files
ogmtools	1.5	OGG media streams manipulation tools
ohcount	3.0.0	Source code line counter
ola	0.9.7	Open Lighting Architecture for lighting control information
olsrd	0.9.0.2	Implementation of the optimized link state routing protocol
omega	1.2.18	Packaged search engine for websites, built on top of Xapian
omniorb	4.2.0	IOR and naming service utilities for omniORB
ondir	0.2.3	Automatically execute scripts as you traverse directories
one-ml	0.1	Reboot of ML, unifying its core and (now first-class) module layers
onepass	0.2.1	Command-line interface for 1Password
onetime	1.81	Encryption with one-time pads
oniguruma	5.9.6	Regular expressions library
ooniprobe	1.3.1	Network interference detection tool
opam	1.2.2	Package manager for OCaml
open-babel	2.3.2	Chemical toolbox
open-cobol	1.1	COBOL compiler
open-mesh	4.1	Generic data structure to represent and manipulate polygonal meshes
open-mpi	1.10.0	High performance message passing library
open-ocd	0.9.0	On-chip debugging, in-system programming and boundary-scan testing
open-scene-graph	3.4.0	3D graphics toolkit
open-sp	1.5.2	SGML parser
open-vcdiff	0.8.4	Encoder/decoder for the VCDIFF (RFC3284) format
open-zwave	1.2.919	Library for selected Z-Wave PC controllers
openal-soft	1.16.0	Implementation of the OpenAL 3D audio API
opencbm	0.4.99.97	Provides access to various floppy drive formats
opencc	1.0.3	Simplified-traditional Chinese conversion tool
opencolorio	v1.0.9	Color management solution geared towards motion picture production
openconnect	7.06	Open client for Cisco AnyConnect VPN
opencore-amr	0.1.3	Audio codecs extracted from Android open source project
opendbx	1.4.6	Lightweight but extensible database access library in C
opendetex	2.8.1	Tool to strip TeX or LaTeX commands from documents
openexr	2.2.0	OpenEXR Graphics Tools (high dynamic-range image file format)
openh264	v1.3.1	H.264 codec from Cisco
openhmd	0.1.0	Free and open source API and drivers for immersive technology
openjpeg	1.5.2	Library for JPEG-2000 image manipulation
openlitespeed	1.3.10	High-performance, lightweight HTTP server
openrtsp	2015.08.07	Command-line RTSP client
opensaml	2.5.3	Library for Security Assertion Markup Language
opensc	0.15.0	Tools and libraries for smart cards
openslide	3.4.1	C library to read whole-slide images (a.k.a. virtual slides)
openslp	2.0.0	Implementation of Service Location Protocol
openssl	1.0.2j	SSL/TLS cryptography library
openvdb	v3.0.0	Sparse volume processing toolkit
openvpn	2.3.8	SSL VPN implementing OSI layer 2 or 3 secure network extension
openwsman	v2.6.0	Implementation of WS-Management, enabling in-band resource management
ophcrack	3.6.0	Microsoft Windows password cracker using rainbow tables
optipng	0.7.5	PNG file optimizer
opus	1.1	Audio codec
opus-tools	0.1.9	Utilities to encode, inspect, and decode .opus files
opusfile	0.6	API for decoding and seeking in .opus files
orbit	2-2.14.19	CORBA 2.4-compliant object request broker (ORB)
orc	0.4.23	Oil Runtime Compiler (ORC)
orfeo	3.20.0	Library of image processing algorithms
orientdb	2.1.0	Graph database
orpie	1.5.2	RPN calculator for the terminal
